"","accepted_name","phylo.tip","input_name","name_class","ncbi_id","GenBank_taxonomy","ITS","trnTLF","rbcL","matK","atpB"
"102","Artemisia_alba","Artemisia_alba","Artemisia_alba","scientific name",1227615,"Artemisia_alba","444745784","444745887","NA","NA","NA"
"103","Artemisia_atrata","Artemisia_atrata","Artemisia_atrata","scientific name",669120,"Artemisia_atrata","444745850","444745934","NA","NA","NA"
"104","Artemisia_campestris","Artemisia_campestris","Artemisia_campestris","scientific name",72337,"Artemisia_campestris","NA","568218873","379031513","379038002","NA"
"105","Artemisia_campestris","Artemisia_campestris","Artemisia_campestris","scientific name",72337,"Artemisia_campestris_subsp__caudata","332105561","NA","NA","NA","NA"
"106","Artemisia_genipi","Artemisia_genipi","Artemisia_genipi","scientific name",223866,"Artemisia_genipi","30266786","NA","NA","NA","NA"
"107","Artemisia_umbelliformis","Artemisia_umbelliformis","Artemisia_umbelliformis","scientific name",72355,"Artemisia_umbelliformis","30266796","NA","NA","NA","NA"
"108","Artemisia_vulgaris","Artemisia_vulgaris","Artemisia_vulgaris","scientific name",4220,"Artemisia_vulgaris","NA","444745873","817991686","379039414","NA"
"109","Artemisia_vulgaris","Artemisia_vulgaris","Artemisia_vulgaris","scientific name",4220,"Artemisia_vulgaris__type_2_","4226012","NA","NA","NA","NA"
"110","Arum_maculatum","Arum_maculatum","Arum_maculatum","scientific name",4458,"Arum_maculatum","296033248","296033373","296033289","296033341","NA"
"111","Aruncus_dioicus","Aruncus_dioicus","Aruncus_dioicus","scientific name",32220,"Aruncus_dioicus","380840971","19032428","533003","17154790","NA"
"112","Asarum_europaeum","Asarum_europaeum","Asarum_europaeum","scientific name",49456,"Asarum_europaeum","238558097","NA","NA","238558120","NA"
"113","Asperugo_procumbens","Asperugo_procumbens","Asperugo_procumbens","scientific name",581244,"Asperugo_procumbens","399606279","601105958","399139375","402173108","NA"
"114","Asperula_cynanchica","Asperula_cynanchica","Asperula_cynanchica","scientific name",35891,"Asperula_cynanchica","NA","288190058","379034759","607344968","NA"
"115","Asphodelus_albus","Asphodelus_albus","Asphodelus_albus","scientific name",207931,"Asphodelus_albus","NA","697652552","37722349","NA","37720978"
"116","Aster_alpinus","Aster_alpinus","Aster_alpinus","scientific name",669631,"Aster_alpinus","749635613","390431481","NA","NA","NA"
"117","Aster_bellidiastrum","Aster_bellidiastrum","Bellidiastrum_michelii","synonym",191233,"Aster_bellidiastrum","20136725","NA","557836626","NA","NA"
"118","Astragalus_alpinus","Astragalus_alpinus","Astragalus_alpinus","scientific name",20403,"Astragalus_alpinus","325492651","260079530","817991696","60256609","NA"
"119","Astragalus_australis","Astragalus_australis","Astragalus_australis","scientific name",90161,"Astragalus_australis_var__glabriusculus","4680518","NA","NA","NA","NA"
"120","Astragalus_australis","Astragalus_australis","Astragalus_australis","scientific name",90161,"Astragalus_australis_var__aboriginorum","NA","4927054","NA","NA","NA"
"121","Astragalus_cicer","Astragalus_cicer","Astragalus_cicer","scientific name",20410,"Astragalus_cicer","429139010","667668263","667668060","700370121","NA"
"122","Astragalus_danicus","Astragalus_danicus","Astragalus_danicus","scientific name",512688,"Astragalus_danicus","NA","667668264","667668064","667667880","NA"
"123","Astragalus_glycyphyllos","Astragalus_glycyphyllos","Astragalus_glycyphyllos","scientific name",83862,"Astragalus_glycyphyllos","NA","NA","379033869","379039736","NA"
"124","Astragalus_onobrychis","Astragalus_onobrychis","Astragalus_onobrychis","scientific name",1091133,"Astragalus_onobrychis","NA","NA","NA","577860087","NA"
"125","Astragalus_vesicarius","Astragalus_vesicarius","Astragalus_vesicarius","scientific name",713681,"Astragalus_vesicarius_subsp__carniolicus","284813091","NA","NA","NA","NA"
"126","Astrantia_major","Astrantia_major","Astrantia_major","scientific name",52448,"Astrantia_major_subsp__involucrata","NA","NA","NA","2281142","NA"
"127","Astrantia_major","Astrantia_major","Astrantia_major","scientific name",52448,"Astrantia_major","3075425","NA","557836359","NA","NA"
"128","Athamanta_cretensis","Athamanta_cretensis","Athamanta_cretensis","scientific name",109084,"Athamanta_cretensis","6648830","NA","557836294","NA","NA"
"129","Atocion_rupestre","Atocion_rupestre","Atocion_rupestre","scientific name",39910,"Atocion_rupestre","211954114","148608542","541049878","156125859","NA"
"130","Atropa_belladonna","Atropa_belladonna","Atropa_belladonna","scientific name",33113,"Atropa_belladonna","19743573","190614059","817991700","47057131","312369840"
"131","Avenella_flexuosa","Avenella_flexuosa","Deschampsia_flexuosa","synonym",29672,"Avenella_flexuosa","37359492","37359559","379034233","110915937","110915587"
"132","Barbarea_intermedia","Barbarea_intermedia","Barbarea_intermedia","scientific name",264400,"Barbarea_intermedia","NA","NA","733452042","NA","NA"
"133","Barbarea_vulgaris","Barbarea_vulgaris","Barbarea_vulgaris","scientific name",50459,"Barbarea_vulgaris","6687078","27461488","379036052","12002334","NA"
"134","Bartsia_alpina","Bartsia_alpina","Bartsia_alpina","scientific name",46052,"Bartsia_alpina","273464275","166204008","10441745","57229638","NA"
"135","Bellardiochloa_variegata","Bellardiochloa_variegata","Bellardiochloa_variegata","scientific name",368336,"Bellardiochloa_variegata","209887665","NA","NA","110915943","110915593"
"136","Berardia_subacaulis","Berardia_subacaulis","Berardia_subacaulis","scientific name",143176,"Berardia_subacaulis","60614748","60202358","500049508","17220838","NA"
"137","Berberis_vulgaris","Berberis_vulgaris","Berberis_vulgaris","scientific name",258209,"Berberis_vulgaris","145025207","555685567","667668216","408004196","NA"
"138","Betonica_officinalis","Betonica_officinalis","Betonica_officinalis","scientific name",53173,"Betonica_officinalis","374674703","21070155","3355847","379040330","NA"
"139","Betula_pendula","Betula_pendula","Betula_pendula","scientific name",3505,"Betula_pendula","361071303","199600252","817991720","38532029","8452614"
"140","Betula_pubescens","Betula_pubescens","Betula_pubescens","scientific name",38787,"Betula_pubescens","17065874","260079550","379036486","38532051","NA"
"141","Biscutella_laevigata","Biscutella_laevigata","Biscutella_laevigata","scientific name",264427,"Biscutella_laevigata","525672643","571272850","557836396","NA","NA"
"142","Bistorta_officinalis","Bistorta_officinalis","Bistorta_officinalis","scientific name",125587,"Bistorta_officinalis","284811032","156536638","379037536","8568054","NA"
"143","Bistorta_vivipara","Bistorta_vivipara","Polygonum_viviparum","synonym",371026,"Bistorta_vivipara","NA","156536624","557836549","218203578","NA"
"144","Bistorta_vivipara","Bistorta_vivipara","Polygonum_viviparum","synonym",371026,"Bistorta_vivipara_var__vivipara","87083868","NA","NA","NA","NA"
"145","Bistorta_vivipara","Bistorta_vivipara","Bistorta_vivipara","scientific name",371026,"Bistorta_vivipara","NA","156536624","557836549","218203578","NA"
"146","Bistorta_vivipara","Bistorta_vivipara","Bistorta_vivipara","scientific name",371026,"Bistorta_vivipara_var__vivipara","87083868","NA","NA","NA","NA"
"147","Blackstonia_perfoliata","Blackstonia_perfoliata","Blackstonia_perfoliata","scientific name",82736,"Blackstonia_perfoliata","22034452","33308336","817991724","340512937","NA"
"148","Blitum_bonus-henricus","Blitum_bonus_henricus","Chenopodium_bonus_henricus","synonym",122298,"Blitum_bonus-henricus","NA","371779508","379032420","8568064","NA"
"149","Blysmus_compressus","Blysmus_compressus","Blysmus_compressus","scientific name",130937,"Blysmus_compressus","NA","32968154","9663029","675440277","NA"
"150","Bombycilaena_erecta","Bombycilaena_erecta","Bombycilaena_erecta","scientific name",702209,"Bombycilaena_erecta","NA","317438808","NA","NA","NA"
"151","Bothriochloa_ischaemum","Bothriochloa_ischaemum","Bothriochloa_ischaemum","scientific name",29660,"Bothriochloa_ischaemum","68164092","77166593","164565194","375493071","NA"
"152","Brachypodium_pinnatum","Brachypodium_pinnatum","Brachypodium_pinnatum","scientific name",29663,"Brachypodium_pinnatum","346642389","346642439","164565036","375493055","110915595"
"153","Brachypodium_rupestre","Brachypodium_rupestre","Brachypodium_rupestre","scientific name",52143,"Brachypodium_rupestre","3282429","346642441","607344694","406034246","NA"
