"Species,C,254","TAXREF,N,10,0","NUMCBNA,N,10,0","G_SP_SUBSP,C,150","Valid_LIB,C,150"
Colchicum_autumnale,92127,0,Colchicum autumnale,Colchicum_autumnale
Colutea_arborescens,92196,0,Colutea arborescens,Colutea_arborescens
Compl_ment_flore,0,0,Compl ment flore,
Consolida_regalis,94572,0,Consolida regalis,Delphinium_consolida
Convallaria_majalis,92282,0,Convallaria majalis,Convallaria_majalis
Convolvulus_arvensis,92302,0,Convolvulus arvensis,Convolvulus_arvensis
Conyza_canadensis,96749,0,Conyza canadensis,Erigeron_canadensis
Corallorhiza_trifida,92421,0,Corallorhiza trifida,Corallorhiza_trifida
Coristospermum_ferulaceum,92486,0,Coristospermum ferulaceum,Coristospermum_ferulaceum
Cormus_domestica,124319,0,Cormus domestica,Sorbus_domestica
Coronilla_minima,92527,0,Coronilla minima,Coronilla_minima
Coronilla_vaginalis,92543,0,Coronilla vaginalis,Coronilla_vaginalis
Corydalis_intermedia,92589,0,Corydalis intermedia,Corydalis_intermedia
Corydalis_solida,92594,0,Corydalis solida,Corydalis_solida
Corylus_avellana,92606,0,Corylus avellana,Corylus_avellana
Cotoneaster_integerrimus,92667,0,Cotoneaster integerrimus,Cotoneaster_integerrimus
Cotoneaster,191211,0,Cotoneaster,Cotoneaster
Cotoneaster_tomentosus,92710,0,Cotoneaster tomentosus,Cotoneaster_tomentosus
Crataegus_laevigata,92864,0,Crataegus laevigata,Crataegus_laevigata
Crataegus_monogyna,92876,0,Crataegus monogyna,Crataegus_monogyna
Crepis_aurea,93004,0,Crepis aurea,Crepis_aurea
Crepis_biennis,93015,0,Crepis biennis,Crepis_biennis
Crepis_conyzifolia,93027,0,Crepis conyzifolia,Crepis_conyzifolia
Crepis_foetida,93045,0,Crepis foetida,Crepis_foetida
Crepis_nicaeensis,93097,0,Crepis nicaeensis,Crepis_nicaeensis
