"","pezalps.TNRS$phy$tip.label","rep(1, length(pezalps.TNRS$phy$tip.label))","Valid_LIB.C.150","endemic.TNRS","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"82","Arenaria_serpyllifolia",1,"Arenaria_serpyllifolia","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Armeria_alpina",1,"Armeria_alpina","0",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"84","Armeria_arenaria",1,"Armeria_arenaria","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"85","Arnica_montana",1,"Arnica_montana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Arrhenatherum_elatius",1,"Arrhenatherum_elatius","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Artemisia_absinthium",1,"Artemisia_absinthium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Artemisia_alba",1,"Artemisia_alba","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Artemisia_atrata",1,"Artemisia_atrata","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Artemisia_campestris",1,"Artemisia_campestris","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Artemisia_genipi",1,"Artemisia_genipi","1",1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"92","Artemisia_umbelliformis",1,"Artemisia_umbelliformis","0",1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
"93","Artemisia_vulgaris",1,"Artemisia_vulgaris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Arum_maculatum",1,"Arum_maculatum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Aruncus_dioicus",1,"Aruncus_dioicus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Asarum_europaeum",1,"Asarum_europaeum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Asperugo_procumbens",1,"Asperugo_procumbens","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Asperula_cynanchica",1,"Asperula_cynanchica","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
