"","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI","X","Valid_LIB.C.150","Alien_origin","rep.1..length.pezAlpes.phy.tip.label..","Endemic","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"54","Leucanthemum_atratum","Leucanthemum","","atratum","subsp.    ","halleri","End.","E-Alp.",124,39,8,2,720,"Leucanthemum_atratum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Leucanthemum_atratum","Leucanthemum","","atratum","subsp.    ","coronopifolium","End.","W-Alp.",124,39,8,3,720,"Leucanthemum_atratum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Minuartia_rupestris","Minuartia","","rupestris","subsp.    ","clementei","End.","W-Alp.",38,3,9,2,794,"Minuartia_rupestris","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Minuartia_rupestris","Minuartia","","rupestris","subsp.    ","rupestris","End.","Alp.",38,3,9,1,794,"Minuartia_rupestris","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Oxytropis_campestris","Oxytropis","","campestris","subsp.    ","tyroliensis","End.","E-Alp.",64,18,8,2,853,"Oxytropis_campestris","",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"59","Oxytropis_fetida","Oxytropis","","fetida","","","End.","W-Alp.",64,18,11,NA,854,"Oxytropis_fetida","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Oxytropis_helvetica","Oxytropis","","helvetica","","","End.","W-Alp.",64,18,4,NA,856,"Oxytropis_helvetica","",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"61","Papaver_alpinum","Papaver","","alpinum","","","End.","E-Alp.",22,1,8,NA,861,"Papaver_alpinum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Paronychia_kapela","Paronychia","","kapela","subsp.    ","galloprovincialis","Subend.","W-Alp.",38,14,3,3,867,"Paronychia_kapela","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Pedicularis_gyroflexa","Pedicularis","","gyroflexa","","","End.?","Alp.",114,27,21,NA,873,"Pedicularis_gyroflexa","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Pedicularis_rostratospicata","Pedicularis","","rostratospicata","subsp.    ","helvetica","End.?","W-Alp.",114,27,17,2,875,"Pedicularis_rostratospicata_subsp._helvetica","",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"65","Phyteuma_michelii","Phyteuma","","michelii","","","End.","W-Alp.",118,4,3,NA,894,"Phyteuma_michelii","",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"66","Phyteuma_scheuchzeri","Phyteuma","","scheuchzeri","subsp.    ","scheuchzeri","End.","Alp.",118,4,10,1,897,"Phyteuma_scheuchzeri","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Phyteuma_scheuchzeri","Phyteuma","","scheuchzeri","subsp.    ","columnae","Subend.","S-Alp./Illyr.",118,4,10,2,897,"Phyteuma_scheuchzeri","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Poa_cenisia","Poa","","cenisia","","","Subend.","Alp.",139,6,6,NA,932,"Poa_cenisia","",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"69","Pulsatilla_alpina","Pulsatilla","","alpina","subsp.    ","schneebergensis","End.","E-Alp.",19,14,1,2,81,"Anemone_alpina","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Pulsatilla_alpina","Pulsatilla","","alpina","subsp.    ","cottianaea","End.","W-Alp.",19,14,1,3,81,"Anemone_alpina","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Pulsatilla_alpina","Pulsatilla","","alpina","subsp.    ","austriaca","End.","E-Alp.",19,14,1,5,81,"Anemone_alpina","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Pulsatilla_halleri","Pulsatilla","","halleri","subsp.    ","halleri","End.","W-Alp.",19,14,6,1,83,"Anemone_halleri","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Pulsatilla_halleri","Pulsatilla","","halleri","subsp.    ","styriaca","End.","E-Alp.",19,14,6,2,83,"Anemone_halleri","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Salix_glaucosericea","Salix","","glaucosericea","","","End.","Alp.",52,1,11,NA,1085,"Salix_glaucosericea","",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"75","Salix_laggeri","Salix","","laggeri","","","End.","Alp.",52,1,20,NA,1088,"Salix_laggeri","",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"76","Saussurea_alpina","Saussurea","","alpina","subsp.    ","depressa","End.","W-Alp.",124,57,2,3,1107,"Saussurea_alpina","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"77","Saxifraga_biflora","Saxifraga","","biflora","subsp.    ","macropetala","End.","Alp.",62,1,15,2,1112,"Saxifraga_biflora","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"78","Saxifraga_biflora","Saxifraga","","biflora","subsp.    ","biflora","End.","Alp.",62,1,15,1,1112,"Saxifraga_biflora","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"79","Saxifraga_exarata","Saxifraga","","exarata","subsp.    ","delphinensis","End.","W-Alp.",62,1,33,2,1115,"Saxifraga_exarata","",0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1
"80","Saxifraga_exarata","Saxifraga","","exarata","subsp.    ","atropurpurea","End.","E-Alp.",62,1,33,6,1115,"Saxifraga_exarata","",0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1
"81","Saxifraga_exarata","Saxifraga","","exarata","subsp.    ","carniolica","End.","E-Alp.",62,1,33,5,1115,"Saxifraga_exarata","",0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1
"82","Saxifraga_oppositifolia","Saxifraga","","oppositifolia","subsp.    ","blepharophylla","End.","E-Alp.",62,1,13,3,1119,"Saxifraga_oppositifolia","",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
