"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"1102","Pulmonaria longifolia","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1103","Pulmonaria montana","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1104","Pulmonaria saccharata","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1105","Pulsatilla alpina","0","0",63,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1106","Pulsatilla halleri","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1107","Pulsatilla montana","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1108","Pyrola chlorantha","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1109","Pyrola media","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1110","Pyrola minor","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1111","Pyrola rotundifolia","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1112","Pyrus malus","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1113","Pyrus pyraster","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1114","Pythius dulcis","0","0",75,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1115","Quercus petraea","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1116","Quercus pubescens","0","0",50,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1117","Quercus robur","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1118","Ranunculus aconitifolius","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1119","Ranunculus acris","0","0",60,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1120","Ranunculus aduncus","0","0",13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1121","Ranunculus arvensis","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1122","Ranunculus auricomus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1123","Ranunculus bulbosus","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1124","Ranunculus gramineus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1125","Ranunculus kuepferi","0","0",23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1126","Ranunculus lanuginosus","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1127","Ranunculus parnassifolius","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"1128","Ranunculus platanifolius","0","0",15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1129","Ranunculus polyanthemos","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1130","Ranunculus pyrenaeus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1131","Ranunculus repens","0","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1132","Ranunculus seguieri","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1133","Ranunculus trichophyllus","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1134","Ranunculus tuberosus","0","0",23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1135","Rapunculus spicatus","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1136","Reseda lutea","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
