"","Row.names","Endemic","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"701","Juniperus_sibirica","0",1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
"702","Kernera_saxatilis","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"703","Knautia_arvensis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"704","Knautia_dipsacifolia","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"705","Knautia_NA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"706","Kobresia_curvula","0",1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
"707","Kobresia_myosuroides","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"708","Koeleria_cenisia","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709","Koeleria_pyramidata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"710","Koeleria_vallesiana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"711","Laburnum_alpinum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"712","Laburnum_anagyroides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"713","Lactuca_alpina","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"714","Lactuca_muralis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"715","Lactuca_perennis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716","Lactuca_serriola","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"717","Lamium_amplexicaule","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"718","Lamium_garganicum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
