"","taxized","combinedname","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI"
"174","Galarhoeus hybernus","Galarhoeus hybernus","Euphorbia hyberna","Euphorbia","","hyberna","subsp.    ","canuti","End.","W-Alp.","80","3","10","1"
"175","Galeopsis ladanum","Galeopsis ladanum subsp. reuteri","Galeopsis reuteri","Galeopsis","","reuteri","","","End.","W-Alp.","108","8","4",NA
"176","Galium helveticum","Galium helveticum var. baldense","Galium baldense","Galium","","baldense","","","End.","E-Alp.","119","4","41",NA
"177","Galium margaritaceum","Galium margaritaceum NA","Galium margaritaceum","Galium","","margaritaceum","","","End.","E-Alp.","119","4","40",NA
"178","Galium megalospermum","Galium megalospermum NA","Galium megalospermum","Galium","","megalospermum","","","End.","Alp.","119","4","36",NA
"179","Galium meliodorum","Galium meliodorum","Galium meliodorum","Galium","","meliodorum","","","End.","E-Alp.","119","4","18",NA
"180","Galium montis","Galium montis arerae NA","Galium montis-arerae","Galium","","montis-arerae","","","End.","E-Alp.","119","4","17",NA
"181","Galium noricum","Galium noricum NA","Galium noricum","Galium","","noricum","","","Subend.","E-Alp.","119","4","42",NA
"182","Galium pseudohelveticum","Galium pseudohelveticum NA","Galium pseudohelveticum","Galium","","pseudohelveticum","","","End.","W-Alp.","119","4","35",NA
"183","Galium saxosum","Galium saxosum NA","Galium saxosum","Galium","","saxosum","","","End.","W-Alp.","119","4","26",NA
"184","Galium truniacum","Galium truniacum","Galium truniacum","Galium","","truniacum","","","End.","E-Alp.","119","4","16",NA
"185","Gentiana froelichii","Gentiana froelichii NA","Gentiana froelichii","Gentiana","","froelichii","subsp.    ","froelichii","End.","E-Alp.","98","4","9","1"
"186","Gentiana ligustica","Gentiana ligustica NA","Gentiana ligustica","Gentiana","","ligustica","","","End.","W-Alp.","98","4","13",NA
"187","Gentiana NA","Gentiana","Gentiana villarsii","Gentiana","","villarsii","","","End.","W-Alp.","98","4","5",NA
"188","Gentianella engadinensis","Gentianella engadinensis","Gentiana engadinensis","Gentiana","","engadinensis","","","End.","E-Alp.","98","4","34",NA
"189","Gentianella insubrica","Gentianella insubrica","Gentiana insubrica","Gentiana","","insubrica","","","End.","S-Alp.","98","4","37",NA
"190","Gentianella pilosa","Gentianella pilosa","Gentiana pilosa","Gentiana","","pilosa","","","Subend.","E-Alp.","98","4","33",NA
"191","Gentianella ramosa","Gentianella ramosa","Gentiana ramosa","Gentiana","","ramosa","","","End.","Alp.","98","4","32",NA
"192","Gentianusa lutea","Gentianusa lutea","Gentiana lutea","Gentiana","","lutea","subsp.    ","vardjanii","End.?","E-Alp.","98","4","1","3"
"193","Geranium rivulare","Geranium rivulare NA","Geranium rivulare","Geranium","","rivulare","","","Subend.","Alp.","93","1","6",NA
"194","Gymnadenia corneliana","Gymnadenia corneliana","Nigritella corneliana","Nigritella","","corneliana","","","End.","W-Alp.","148","15","5",NA
"195","Gypsophila papillosa","Gypsophila papillosa NA","Gypsophila papillosa","Gypsophila","","papillosa","","","End.","E-Alp.","38","25","2",NA
"196","Hedysarum boutignyanum","Hedysarum boutignyanum NA","Hedysarum boutignyanum","Hedysarum","","boutignyanum","","","End.","W-Alp.","64","41","4",NA
