Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Festuca eggleri,Festuca,,eggleri,,,End.,E-Alp.,139,1,44,
Festuca flavescens,Festuca,,flavescens,,,End.,W-Alp.,139,1,12,
Festuca halleri,Festuca,,halleri,subsp.    ,halleri,End.,Alp.,139,1,32,1
Festuca intercedens,Festuca,,intercedens,,,End.,Alp.,139,1,31,
Festuca laxa,Festuca,,laxa,,,End.,E-Alp.,139,1,8,
Festuca melanopsis,Festuca,,melanopsis,,,End.,Alp.,139,1,24,
Festuca norica,Festuca,,norica,,,End.,E-Alp.,139,1,19,
Festuca pseudodura,Festuca,,pseudodura,,,End.?,E-Alp.,139,1,37,
Festuca pulchella,Festuca,,pulchella,subsp.    ,jurana,Subend.,Alp.,139,1,10,2
Festuca pulchella,Festuca,,pulchella,subsp.    ,pulchella,Subend.,Alp.,139,1,10,1
Festuca rupicaprina,Festuca,,rupicaprina,,,End.,E-Alp.,139,1,33,
Festuca scabriculmis,Festuca,,scabriculmis,subsp.    ,luedii,End.,Alp.,139,1,13,2
Festuca scabriculmis,Festuca,,scabriculmis,subsp.    ,scabriculmis,End.,W-Alp.,139,1,13,1
Festuca ticinensis,Festuca,,ticinensis,,,End.,S-Alp.,139,1,52,
Festuca varia,Festuca,,varia,,,End.,E-Alp.,139,1,17,
Festuca violacea,Festuca,,violacea,,,End.,W-Alp.,139,1,22,
Fritillaria tubiformis,Fritillaria,,tubiformis,,,End.,W-Alp.,143,14,2,
Galeopsis reuteri,Galeopsis,,reuteri,,,End.,W-Alp.,108,8,4,
Galium baldense,Galium,,baldense,,,End.,E-Alp.,119,4,41,
Galium margaritaceum,Galium,,margaritaceum,,,End.,E-Alp.,119,4,40,
Galium megalospermum,Galium,,megalospermum,,,End.,Alp.,119,4,36,
Galium meliodorum,Galium,,meliodorum,,,End.,E-Alp.,119,4,18,
Galium montis-arerae,Galium,,montis-arerae,,,End.,E-Alp.,119,4,17,
Galium noricum,Galium,,noricum,,,Subend.,E-Alp.,119,4,42,
