"","X","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"140",148,31,109.450891905376,104.588334013605,6.83425457480877,754,0.7114979166411,0.754,999,"Rocher de la Selle","mpd","Asterales",0,"Ecrins NP"
"141",149,10,118.279432911111,104.240928947414,13.662435626946,787,1.0275257170112,0.787,999,"Rouies","mpd","Asterales",0,"Ecrins NP"
"142",150,13,114.575977025641,104.235993680065,11.6986193221537,794,0.883863562086811,0.794,999,"Sirac","mpd","Asterales",0,"Ecrins NP"
"143",151,39,105.047997673414,104.415883933283,5.74249352736926,522,0.110076526358939,0.522,999,"Summits","mpd","Asterales",0,"Ecrins NP"
"145",153,10,137.2279188,133.837921210989,11.0402334226032,577,0.307058506758629,0.577,999,"Barre des Ecrins","mpd","Poales",0,"Ecrins NP"
"146",154,1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mpd","Poales",NA,"Ecrins NP"
"147",155,6,146.846813533333,133.37037940287,17.0632229228084,791,0.789794178475499,0.791,999,"Burlan","mpd","Poales",0,"Ecrins NP"
"148",156,2,176.543151,132.746348756757,54.8823962256247,878.5,0.798011844511892,0.8785,999,"Choisy","mpd","Poales",0,"Ecrins NP"
"149",158,6,93.1422179333333,133.623120604071,16.757216110901,30,-2.41572958198012,0.03,999,"La Meije","mpd","Poales",1,"Ecrins NP"
"150",159,18,127.77365945098,133.549824901581,7.21258550869798,197,-0.800845333983935,0.197,999,"Lauvitel","mpd","Poales",0,"Ecrins NP"
"151",160,11,125.113190909091,134.118652899772,10.2849704245827,172,-0.875594349708304,0.172,999,"Muraillette","mpd","Poales",0,"Ecrins NP"
"152",161,6,138.0647374,133.774560527728,15.848098541477,560,0.270706095185122,0.56,999,"Occidentale Ailefroide","mpd","Poales",0,"Ecrins NP"
"153",162,9,135.0451655,134.227214169392,11.5818544081574,486,0.0706235203606334,0.486,999,"Olan","mpd","Poales",0,"Ecrins NP"
"154",163,3,155.673714,134.256168601268,33.322938993307,764.5,0.64272678358394,0.7645,999,"Pelvoux","mpd","Poales",0,"Ecrins NP"
"155",164,28,124.622877915344,133.666800830775,5.39418456814423,60,-1.67660613039474,0.06,999,"Persistent","mpd","Poales",0,"Ecrins NP"
"156",165,11,127.717447709091,133.747963053963,9.82276298191591,228,-0.613932694494876,0.228,999,"Plat de la Selle","mpd","Poales",0,"Ecrins NP"
"157",166,22,126.774939251082,133.515050023257,6.14393550760679,131,-1.0970347530227,0.131,999,"Rateau","mpd","Poales",0,"Ecrins NP"
"158",167,29,124.688787660099,133.809913318165,5.11083222637109,46,-1.78466544274401,0.046,999,"Rocher de la Selle","mpd","Poales",1,"Ecrins NP"
"159",168,5,135.173418,133.702557412813,20.3568855937194,455,0.0722537138805253,0.455,999,"Rouies","mpd","Poales",0,"Ecrins NP"
"160",169,14,139.243593373626,133.794870869408,9.0086919459762,702,0.604829484335094,0.702,999,"Sirac","mpd","Poales",0,"Ecrins NP"
"161",170,37,125.793363153153,133.739710185561,4.19491083194814,37,-1.8942827036725,0.037,999,"Summits","mpd","Poales",1,"Ecrins NP"
"163",172,3,52.344814,100.766812,38.272176556281,114,-1.26520105091993,0.114,999,"Barre des Ecrins","mpd","Rosales",0,"Ecrins NP"
"164",173,0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mpd","Rosales",NA,"Ecrins NP"
"165",174,2,141.87263,103.349676597598,52.0006156887967,759,0.740817255567649,0.759,999,"Burlan","mpd","Rosales",0,"Ecrins NP"
"166",175,1,NA,NA,NA,NA,NA,NA,999,"Choisy","mpd","Rosales",NA,"Ecrins NP"
"167",177,2,60.973601,103.731942677678,52.724030145672,140.5,-0.810983939572525,0.1405,999,"La Meije","mpd","Rosales",0,"Ecrins NP"
"168",178,8,37.7627818214286,101.890192248069,20.5081051361016,1,-3.1269300601426,0.001,999,"Lauvitel","mpd","Rosales",1,"Ecrins NP"
"169",179,6,79.2640018666667,101.175679808942,24.4764088177898,193,-0.895216210245265,0.193,999,"Muraillette","mpd","Rosales",0,"Ecrins NP"
"170",180,1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mpd","Rosales",NA,"Ecrins NP"
"171",181,5,44.5104162,100.601441672673,27.7673458748962,11,-2.02003553834013,0.011,999,"Olan","mpd","Rosales",1,"Ecrins NP"
"172",182,0,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mpd","Rosales",NA,"Ecrins NP"
"173",183,17,77.6366795,101.793875313622,12.8587495971627,41,-1.87865823430863,0.041,999,"Persistent","mpd","Rosales",1,"Ecrins NP"
"174",184,4,42.4100603333333,102.401948039373,32.2292249085374,20,-1.8614126736305,0.02,999,"Plat de la Selle","mpd","Rosales",1,"Ecrins NP"
"175",185,15,73.9068610095238,102.311092992974,13.8904355732231,25,-2.0448769827064,0.025,999,"Rateau","mpd","Rosales",1,"Ecrins NP"
"176",186,10,70.5531320666667,102.06621390664,18.233899676709,44,-1.72826890564866,0.044,999,"Rocher de la Selle","mpd","Rosales",1,"Ecrins NP"
"177",187,3,52.344814,100.880161379379,38.0273611123238,108,-1.27632699087421,0.108,999,"Rouies","mpd","Rosales",0,"Ecrins NP"
"178",188,11,38.9268438545455,101.757871737483,16.7131029765534,1,-3.75938734842251,0.001,999,"Sirac","mpd","Rosales",1,"Ecrins NP"
"179",189,22,81.8857730952381,101.342965777552,11.1348780948674,45,-1.74740958244376,0.045,999,"Summits","mpd","Rosales",1,"Ecrins NP"
"181",191,5,70.5143042,73.3986923855856,6.8198054491984,262,-0.422942884085443,0.262,999,"Barre des Ecrins","mpd","Lamiales",0,"Ecrins NP"
"182",192,1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mpd","Lamiales",NA,"Ecrins NP"
"183",193,5,69.2382824,73.2176147847848,7.44138599694903,218,-0.534756883518248,0.218,999,"Burlan","mpd","Lamiales",0,"Ecrins NP"
"184",194,2,73.188451,73.1493067577578,17.917968091597,261,0.00218463622895956,0.261,999,"Choisy","mpd","Lamiales",0,"Ecrins NP"
"185",196,3,78.4210293333333,73.3749817544211,11.191906300077,635.5,0.450865781361799,0.6355,999,"La Meije","mpd","Lamiales",0,"Ecrins NP"
"186",197,8,69.9712355357143,73.1938410365365,4.94089870747154,210,-0.652230634873993,0.21,999,"Lauvitel","mpd","Lamiales",0,"Ecrins NP"
"187",198,5,75.1210354,73.1223794118118,7.52278024270933,654.5,0.26568049626668,0.6545,999,"Muraillette","mpd","Lamiales",0,"Ecrins NP"
"188",199,4,72.1478128333333,73.085432834668,8.73787874771828,442,-0.107305219997417,0.442,999,"Occidentale Ailefroide","mpd","Lamiales",0,"Ecrins NP"
"189",200,6,71.9209547333333,73.0548820043377,6.18688060908735,375,-0.183279320008021,0.375,999,"Olan","mpd","Lamiales",0,"Ecrins NP"
"190",201,2,67.428088,74.5245053663664,16.9536667185017,203.5,-0.418577142289932,0.2035,999,"Pelvoux","mpd","Lamiales",0,"Ecrins NP"
"191",202,16,69.6565185083333,73.305047491992,3.04146111567786,87,-1.19959744507386,0.087,999,"Persistent","mpd","Lamiales",0,"Ecrins NP"
"192",203,2,81.03732,73.0863545755756,18.255225786303,871,0.435544622537077,0.871,999,"Plat de la Selle","mpd","Lamiales",0,"Ecrins NP"
"193",204,9,72.4748298333333,73.095776416472,4.47086797062001,437,-0.13888725572287,0.437,999,"Rateau","mpd","Lamiales",0,"Ecrins NP"
"194",205,11,71.6996052363636,73.5028761832742,3.89895785699545,298,-0.462500753547552,0.298,999,"Rocher de la Selle","mpd","Lamiales",0,"Ecrins NP"
