"","summit","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","slice","metric"
"202","Rouies",35,84.1901714857143,114.1402609426,15.9114374215592,21,-1.88229942169176,0.021,999,1,"mntd"
"203","Sirac",63,54.0181822222223,90.5966902085261,10.1590903325583,1,-3.60056922311983,0.001,999,1,"mntd"
"204","Summits",192,41.0199852500001,54.5062044810019,3.96953670436513,4,-3.39742902897752,0.004,999,1,"mntd"
"205","Brevoort",11,133.958141,170.704906734553,32.4036990254647,124,-1.13402996693912,0.124,999,0,"mntd"
"206","Burlan",31,95.3048199677419,121.06822717285,16.8130963878605,52,-1.53234161101403,0.052,999,0,"mntd"
"207","Choisy",17,97.5777625882353,148.403770495554,25.0240673661072,19,-2.03108500163959,0.019,999,0,"mntd"
"208","Lauvitel",96,45.1465608854167,76.4095403351164,7.76533265641405,1,-4.02596782816212,0.001,999,0,"mntd"
"209","Muraillette",61,58.2838851803279,91.950642454635,10.5887803264383,1,-3.17947452269335,0.001,999,0,"mntd"
"210","Olan",64,77.23990990625,90.3414431048236,10.1727202483014,95,-1.28790853171856,0.095,999,0,"mntd"
"211","Pelvoux",16,182.4679245,152.026668025713,26.6662045147882,877,1.14156690193406,0.877,999,0,"mntd"
"212","Persistent",165,38.5919492424242,59.188843993357,4.66192213891736,1,-4.41811212997134,0.001,999,0,"mntd"
"213","Rateau",102,53.7468507745098,74.2976074126283,6.83267752269407,1,-3.00771645813244,0.001,999,0,"mntd"
"214","Rouies",39,81.5224937435897,110.573930266651,14.5923784682374,25,-1.99086369547614,0.025,999,0,"mntd"
"215","Sirac",73,52.5088918630137,85.7201055900695,9.24118118265061,1,-3.59382778788133,0.001,999,0,"mntd"
"216","Summits",214,38.6026063738318,51.9142727378921,3.5953728567567,1,-3.70244391733781,0.001,999,0,"mntd"
"217","Brevoort",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"218","Burlan",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"219","Choisy",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"220","Lauvitel",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"221","Muraillette",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"222","Olan",1,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"223","Pelvoux",1,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"224","Persistent",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"225","Rateau",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"226","Rouies",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"227","Sirac",0,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"228","Summits",1,NA,NA,NA,NA,NA,NA,999,200,"mpd"
"229","Brevoort",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"230","Burlan",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"231","Choisy",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"232","Lauvitel",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"233","Muraillette",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"234","Olan",1,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"235","Pelvoux",1,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"236","Persistent",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"237","Rateau",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"238","Rouies",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"239","Sirac",0,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"240","Summits",1,NA,NA,NA,NA,NA,NA,999,150,"mpd"
"241","Brevoort",1,NA,NA,NA,NA,NA,NA,999,100,"mpd"
"242","Burlan",1,NA,NA,NA,NA,NA,NA,999,100,"mpd"
"243","Choisy",2,34.891912,154.98713952953,149.457314740228,217,-0.803541986140103,0.217,999,100,"mpd"
"244","Lauvitel",2,37.202628,169.04377005005,160.433943700066,238,-0.821778353192697,0.238,999,100,"mpd"
"245","Muraillette",2,34.8919120000001,170.24207963964,159.10373720587,215.5,-0.850703886763548,0.2155,999,100,"mpd"
"246","Olan",3,347.943544,164.334572334334,122.547983621616,824,1.49826187456975,0.824,999,100,"mpd"
"247","Pelvoux",2,504.46936,162.182833647648,154.14974285982,928.5,2.22048068327703,0.9285,999,100,"mpd"
"248","Persistent",4,35.154359,163.824032349683,99.8482080887259,72,-1.28865280421804,0.072,999,100,"mpd"
"249","Rateau",3,32.09491,166.63822293627,120.966795519109,89,-1.11223342206346,0.089,999,100,"mpd"
"250","Rouies",2,34.891912,163.102751923924,153.668170531718,225,-0.834335695416251,0.225,999,100,"mpd"
"251","Sirac",1,NA,NA,NA,NA,NA,NA,999,100,"mpd"
"252","Summits",6,190.760189733333,166.223212893427,81.2227361395988,599,0.302094930632902,0.599,999,100,"mpd"
"253","Brevoort",1,NA,NA,NA,NA,NA,NA,999,90,"mpd"
"254","Burlan",1,NA,NA,NA,NA,NA,NA,999,90,"mpd"
"255","Choisy",2,54.891912,165.272002800801,142.035710758627,278,-0.777129147390113,0.278,999,90,"mpd"
"256","Lauvitel",2,57.202628,173.037092792793,154.102944712276,294.5,-0.751669379252071,0.2945,999,90,"mpd"
"257","Muraillette",2,54.8919120000001,161.227618026026,137.996687550781,301,-0.770567090510024,0.301,999,90,"mpd"
"258","Olan",3,367.943544,171.406976687354,112.197237134469,874,1.75170594510358,0.874,999,90,"mpd"
"259","Pelvoux",2,524.46936,165.905670796797,145.733583513779,941.5,2.46040535446863,0.9415,999,90,"mpd"
"260","Persistent",4,55.154359,162.599738645979,93.1726240886581,110,-1.15318614986887,0.11,999,90,"mpd"
"261","Rateau",3,52.09491,166.07504088355,113.4166450324,133,-1.00496828178077,0.133,999,90,"mpd"
"262","Rouies",2,54.891912,160.00809562963,141.521912213032,273.5,-0.742755535067948,0.2735,999,90,"mpd"
"263","Sirac",1,NA,NA,NA,NA,NA,NA,999,90,"mpd"
