"","taxized","combinedname","V1","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"108","Epilobium anagallidifolium","Epilobium anagallidifolium","Epilobium_anagallidifolium","1","0","0","0","0","4","0","3","1","0","0","0","0","0","0","1","1","0","1"
"109","Erigeron acer","Erigeron acer","Erigeron_acer_angulosus","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Erigeron gaudinii","Erigeron gaudinii","Erigeron_gaudinii","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Erigeron glabratus","Erigeron glabratus","Erigeron_glabratus","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0"
"112","Erigeron uniflorus","Erigeron uniflorus","Erigeron_uniflorus","0","1","0","0","0","0","0","2","3","0","0","2","0","0","1","6","0","1","0"
"113","Erinus alpinus","Erinus alpinus","Erinus_alpinus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"114","Eriophorum scheuchzeri","Eriophorum scheuchzeri","Eriophorum_scheuchzeri","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"115","Eritrichium nanum","Eritrichium nanum","Eritrichium_nanum_nanum","1","3","0","0","4","0","1","1","4","2","0","4","0","4","0","5","3","2","0"
"116","Eryngium alpinum","Eryngium alpinum","Eryngium_alpinum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"117","Euphorbia cyparissias","Euphorbia cyparissias","Euphorbia_cyparissias","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0"
"118","Euphrasia alpina","Euphrasia alpina","Euphrasia_alpina","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"119","Euphrasia drosocalyx","Euphrasia drosocalyx","Euphrasia_drosocalyx","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"120","Euphrasia minima","Euphrasia minima","Euphrasia_minima_minima","2","1","0","1","0","0","1","2","1","0","0","0","0","0","1","5","1","0","1"
"121","Euphrasia salisburgensis","Euphrasia salisburgensis","Euphrasia_salisburgensis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"122","Euphrasia stricta","Euphrasia stricta","Euphrasia_stricta","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
