"","L_AREA","L_DRYM","PL_H_flora_MAX","PLOIDY..VALUE.","SEEDM","SLA","PLOIDY","TAPROOT","VEG_DISP","WOODY","LIFESPAN","GROWTHF"
"Gentiana_pneumonanthe",1.46,0.0084,55,NA,0.0546555555555556,16.44,"diploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Gentiana_verna",0.344459695,NA,12,NA,0.0798,9.6,"tetraploid","no","below-ground runners","Herbaceous","pluriennial","forbs"
"Gentianella_campestris",0.712418301,0.0092,20,NA,0.209296296333333,19.7,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","biennial","forbs"
"Gentianella_tenella",NA,NA,10,NA,NA,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Gentianopsis_ciliata",NA,NA,20,NA,0.127,NA,"tetraploid","no","root shoots","Herbaceous","biennial",NA
"Gentianusa_lutea",224.08,125279.84042,120,NA,1.4303125,15.89,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Gentianusa_punctata",67.59508125,0.3873,50,NA,0.6885,18.1086064641667,"tetraploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Geranium_argenteum",NA,NA,15,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Geranium_columbinum",5.605,0.0203771889975,30,NA,3.82728,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Geranium_lucidum",9.345,0.03583756135,20,NA,0.748571428571429,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Geranium_molle",7.09666666666667,0.02670498686,20,NA,1.06042857142857,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Geranium_nodosum",NA,NA,40,NA,5.734,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Geranium_phaeum",113.055,0.306,60,NA,4.5,35.23,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Geranium_pyrenaicum",48.8,0.1889,60,NA,1.66115555555556,29.73,"diploid","yes","basal lateral shoots","Herbaceous","annual",NA
"Geranium_rivulare",21.04125,0.115004166666667,47.5,NA,NA,18.3071642325,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Geranium_robertianum",12.24,0.0411824691966667,50,NA,1.45884827586207,49.48,"octoploid","yes","no vegetative dispersal parts","Herbaceous","annual",NA
"Geranium_rotundifolium",NA,NA,30,NA,1.75253333333333,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
