"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool","model"
"243","5","71.2734974","70.0672720302","6.03945297641741","550.5",0.199724275445146,"0.54995004995005","1000","Muraillette","MPD","Lamiales",0,"LGM","RD"
"244","7","66.5906193333333","69.6451362980952","3.86969964150846","203.5",-0.789342131879575,"0.203296703296703","1000","Rateau","MPD","Lamiales",0,"LGM","RD"
"245","8","70.7432591428571","69.52423800875","3.40123875471047","607",0.358405046519854,"0.606393606393606","1000","Lauvitel","MPD","Lamiales",0,"LGM","RD"
"246","2","178.921875","119.898797066","56.3686414644621","685",1.04709065892978,"0.684315684315684","1000","Plat de la Selle","MPD","Caryophyllales",0,"LGM","RD"
"247","5","123.0901374","121.3624566446","25.6653765740938","459.5",0.0673156207317797,"0.459040959040959","1000","Barre des Ecrins","MPD","Caryophyllales",0,"LGM","RD"
"248","5","127.2666992","121.8277827726","24.7921893581383","514",0.219380239027362,"0.513486513486514","1000","La Meije","MPD","Caryophyllales",0,"LGM","RD"
"249","7","121.277533714286","120.909828332286","19.5106401871996","431.5",0.0188464027049834,"0.431068931068931","1000","Sirac","MPD","Caryophyllales",0,"LGM","RD"
"250","4","151.911790833333","122.002389890333","30.6527163208216","849",0.975750423876247,"0.848151848151848","1000","Rouies","MPD","Caryophyllales",0,"LGM","RD"
"251","4","119.817059333333","123.4355597975","29.4425362867369","375.5",-0.122900433200679,"0.375124875124875","1000","Olan","MPD","Caryophyllales",0,"LGM","RD"
"252","1",NA,NA,NA,"1",NA,"0.000999000999000999","1000","Pelvoux","MPD","Caryophyllales",0,"LGM","RD"
"253","4","151.911790833333","121.8792908725","30.0863674986856","864",0.998209569903891,"0.863136863136863","1000","Occidentale Ailefroide","MPD","Caryophyllales",0,"LGM","RD"
"254","3","140.272573333333","118.334135827333","39.1783419329279","541.5",0.559963398746121,"0.540959040959041","1000","Burlan","MPD","Caryophyllales",0,"LGM","RD"
"255","14","112.213461340659","122.234554124121","7.02472099416457","124.5",-1.42654673285758,"0.124375624375624","1000","Rocher de la Selle","MPD","Caryophyllales",0,"LGM","RD"
"256","7","99.9469041904762","122.122186864667","19.029041968629","143.5",-1.16533889150848,"0.143356643356643","1000","Muraillette","MPD","Caryophyllales",0,"LGM","RD"
"257","5","147.942738","121.439576472","25.685613259266","900",1.03182903442802,"0.899100899100899","1000","Rateau","MPD","Caryophyllales",0,"LGM","RD"
"258","14","110.043002714286","121.67033445811","7.02876249726785","39.5",-1.65425019672294,"0.0394605394605395","1000","Lauvitel","MPD","Caryophyllales",1,"LGM","RD"
"259","39","21.0016260769231","24.1418228391579","3.36106045874736","171",-0.934287496692388,"0.170829170829171","1000","All Summits","MNTD","Asterales",0,"Regional","DAMOCLES"
"260","37","24.4117922432432","31.1553667921765","5.13853657737253","87",-1.3123531276645,"0.0869130869130869","1000","All Summits","MNTD","Poales",0,"Regional","DAMOCLES"
"261","21","24.5402206666667","33.3207314750165","5.7407268678181","56",-1.52951203053613,"0.0559440559440559","1000","All Summits","MNTD","Lamiales",0,"Regional","DAMOCLES"
"262","19","44.4506242105263","48.1586979150859","9.29586387234687","369",-0.398895009165346,"0.368631368631369","1000","All Summits","MNTD","Caryophyllales",0,"Regional","DAMOCLES"
"263","28","22.0372388928571","29.2823343661439","5.10740579643207","64",-1.4185470593208,"0.0639360639360639","1000","LGM","MNTD","Asterales",0,"Regional","DAMOCLES"
"264","28","29.2269466785714","35.6393215911542","6.58171096753031","163",-0.974271727247984,"0.162837162837163","1000","LGM","MNTD","Poales",0,"Regional","DAMOCLES"
"265","16","23.4475326875","37.6825100888617","7.53363939911362","17",-1.88952200221271,"0.016983016983017","1000","LGM","MNTD","Lamiales",1,"Regional","DAMOCLES"
"266","17","55.1041172352941","51.2714040628441","9.86682922094113","656",0.388444259713699,"0.655344655344655","1000","LGM","MNTD","Caryophyllales",0,"Regional","DAMOCLES"
"267","163","39.2903360490798","44.9052525738612","3.28277266771617","41",-1.71041893336091,"0.040959040959041","1000","LGM","MNTD","Spermatophyta",1,"All Summits","DAMOCLES"
"268","28","22.0372388928571","25.0120029856189","3.33644442200669","179",-0.89159707655871,"0.178821178821179","1000","LGM","MNTD","Asterales",0,"All Summits","DAMOCLES"
"269","28","29.2269466785714","28.3814437563606","2.90203879397091","632",0.291347904778993,"0.631368631368631","1000","LGM","MNTD","Poales",0,"All Summits","DAMOCLES"
"270","16","23.4475326875","27.5047594805318","4.86220305099955","188",-0.834442072960683,"0.187812187812188","1000","LGM","MNTD","Lamiales",0,"All Summits","DAMOCLES"
"271","17","55.1041172352941","52.598170748338","6.94251663146685","493",0.360956497474988,"0.492507492507492","1000","LGM","MNTD","Caryophyllales",0,"All Summits","DAMOCLES"
"272","5","57.0307056",NA,NA,"278",NA,"0.277722277722278","1000","Plat de la Selle","MNTD","Asterales",0,"All Summits","DAMOCLES"
"273","7","27.2379847142857",NA,NA,"24",NA,"0.023976023976024","1000","Barre des Ecrins","MNTD","Asterales",0,"All Summits","DAMOCLES"
"274","4","92.6499935",NA,NA,"573",NA,"0.572427572427572","1000","La Meije","MNTD","Asterales",0,"All Summits","DAMOCLES"
"275","13","52.980313","43.3641479614387","11.5494857381525","819",0.832605473228591,"0.818181818181818","1000","Sirac","MNTD","Asterales",0,"All Summits","DAMOCLES"
"276","10","35.1340201","51.2471126964332","14.6313245958804","123",-1.10127367422155,"0.122877122877123","1000","Rouies","MNTD","Asterales",0,"All Summits","DAMOCLES"
"277","10","46.4364548","53.1626944149266","14.8122840475303","341",-0.454098746239485,"0.340659340659341","1000","Olan","MNTD","Asterales",0,"All Summits","DAMOCLES"
