"","Valid_LIB.C.150","Alien_origin","ITS","trnTLF","rbcL","matK","atpB","Endemic","Ecrins.NP","Summits","Persistent","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"102","Arabis_allionii","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Arabis_auriculata","",327397784,677278320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Arabis_caerulea","",442093672,442093722,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Arabis_caucasica","",69196379,127951014,459991406,12002330,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"106","Arabis_ciliata","",677278124,677278389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Arabis_ciliata_var._hirsuta","",677278130,677278350,424949792,12002350,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Arabis_collina","",312142316,677278415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Arabis_nova","",442093675,442093725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Arabis_sagittata","",677278088,677278369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Arabis_soyeri","",6686537,37548255,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Arctium_minus","",910278991,60202354,500049495,379037986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Arctium_nemorosum","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Arctostaphylos_uva-ursi","",4378594,226876642,545699013,33312244,6686865,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","Arenaria_biflora","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"116","Arenaria_gothica","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Arenaria_serpyllifolia","",38305429,239837480,817991676,607344964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Armeria_alpina","",27904417,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"119","Armeria_arenaria","",27904420,0,733451914,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"120","Arnica_montana","",295413450,0,557836623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Arrhenatherum_elatius","",240017949,119553715,71056575,119553578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Artemisia_absinthium","",290767677,564742883,379034101,379039408,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Artemisia_alba","",444745784,444745887,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Artemisia_atrata","",444745850,444745934,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Artemisia_campestris","",332105561,568218873,379031513,379038002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Artemisia_genipi","",30266786,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"127","Artemisia_umbelliformis","",30266796,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
"128","Artemisia_vulgaris","",4226012,444745873,817991686,379039414,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Arum_maculatum","",296033248,296033373,296033289,296033341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Aruncus_dioicus","",380840971,19032428,533003,17154790,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Asarum_europaeum","",238558097,0,0,238558120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","Asparagus_tenuifolius","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","Asperugo_procumbens","",399606279,601105958,399139375,402173108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Asperula_cynanchica","",0,288190058,379034759,607344968,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Asperula_purpurea","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Asphodelus_albus","",0,697652552,37722349,0,37720978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Asphodelus_macrocarpus","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Asplenium_adiantum-nigrum","",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"139","Asplenium_ceterach","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","Asplenium_exiguum","China",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Asplenium_ruta-muraria","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Asplenium_septentrionale","",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"143","Asplenium_trichomanes","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"144","Asplenium_viride","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"145","Aster_alpinus","",749635613,390431481,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"146","Astragalus_alpinus","",325492651,260079530,817991696,60256609,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"147","Astragalus_australis","",4680518,4927054,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
