"","PHLAWD Input Name","TNRS iPlant Taxonomy","GenBank Taxonomy ID","GenBank Taxonomy","ITS","trnTLF","rbcL","matK","atpB","Alps Phylogeny","TaxRef v.9","Alien Origin","Endemic","Regional","All Summits","LGM","Aiguille du plat de la Selle","Barre des Ecrins","la Meije","le Sirac","les Rouies","Olan","Mont Pelvoux","Occidentale.Ailefroide","Point Brevoort","Pointes de Burlan","Rocher de la Selle","Tour Choisy","Tete de la Muraillette","le Rateau","Signal de Lauvitel"
"1411","Thalictrum_aquilegiifolium","Thalictrum_aquilegiifolium",619227,"Thalictrum_aquilegiifolium","440546857","440553296","817992400","NA","NA",1,"Thalictrum_aquilegiifolium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1412","Thalictrum_foetidum","Thalictrum_foetidum",1084670,"Thalictrum_foetidum","507144485","440553319","440356813","NA","NA",1,"Thalictrum_foetidum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1413","Thalictrum_minus","Thalictrum_minus",476039,"Thalictrum_minus","NA","NA","NA","379040862","158602292",1,"Thalictrum_minus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1414","Thalictrum_minus","Thalictrum_minus",476039,"Thalictrum_minus_var__hypoleucum","440546896","429888449","440356839","NA","NA",1,"Thalictrum_minus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1415","Thalictrum_simplex","Thalictrum_simplex",495765,"Thalictrum_simplex","NA","NA","241992474","NA","NA",1,"Thalictrum_simplex","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1416","Thalictrum_simplex","Thalictrum_simplex",495765,"Thalictrum_simplex_var__brevipes","440546928","440553360","NA","NA","NA",1,"Thalictrum_simplex","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1418","Thesium_alpinum","Thesium_alpinum",705353,"Thesium_alpinum","289064383","294459088","557836366","NA","NA",1,"Thesium_alpinum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1419","Thesium_humifusum","Thesium_humifusum",705376,"Thesium_humifusum","289064386","294459093","379034127","379039910","NA",1,"Thesium_humifusum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1420","Thesium_linophyllon",NA,NA,NA,NA,NA,NA,NA,NA,0,"Thesium_linophyllon","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1421","Thlaspi_arvense","Thlaspi_arvense",13288,"Thlaspi_arvense","646281389","27461496","817992404","12002394","NA",1,"Thlaspi_arvense","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1422","Thymus_oenipontanus",NA,NA,NA,NA,NA,NA,NA,NA,0,"Thymus_oenipontanus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1423","Thymus_praecox","Thymus_praecox",347388,"Thymus_praecox_subsp__polytrichus","NA","NA","817992406","507104859","NA",1,"Thymus_praecox","",1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
