"","Row.names","Valid_LIB.C.150","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"180","Brachypodium_rupestre","Brachypodium_rupestre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Brachypodium_sylvaticum","Brachypodium_sylvaticum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Brassica_repanda","Brassica_repanda",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Briza_media","Briza_media",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","Bromus_benekenii","Bromopsis_benekenii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Bromus_erectus","Bromopsis_erecta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Bromus_hordeaceus","Bromus_hordeaceus_subsp._thominei",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","Bromus_inermis","Bromopsis_inermis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","Bromus_squarrosus","Bromus_squarrosus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Bromus_sterilis","Anisantha_sterilis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Bromus_tectorum","Anisantha_tectorum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","Bryonia_cretica","Bryonia_cretica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Buddleja_davidii","Buddleja_davidii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Buglossoides_arvensis","Buglossoides_arvensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
