"","metric","clade","pool","z","pval","rho.est","alt","hyp","measure"
"134","MPD","Lamiales","LGM",434,0.529184736920623,-0.192307692307692,"two.sided","Geographic","Maximum Elevation"
"135","MPD","Lamiales","All Summits",610,0.233428256854,-0.340659340659341,"two.sided","Geographic","Maximum Elevation"
"136","MPD","Poales","Regional",362,0.482691177195478,0.204395604395604,"two.sided","Geographic","Maximum Elevation"
"137","MPD","Poales","LGM",382,0.583826187585235,0.16043956043956,"two.sided","Geographic","Maximum Elevation"
"138","MPD","Poales","All Summits",398,0.670604370794816,0.125274725274725,"two.sided","Geographic","Maximum Elevation"
"139","MPD","Rosales","Regional",130,0.213864224336727,0.409090909090909,"two.sided","Geographic","Maximum Elevation"
"140","MPD","Rosales","LGM",92,0.0655332271928348,0.581818181818182,"two.sided","Geographic","Maximum Elevation"
"141","MPD","Rosales","All Summits",174,0.539113807034715,0.209090909090909,"two.sided","Geographic","Maximum Elevation"
"142","MPD","Spermatophyta","Regional",360,0.191620173026865,0.357142857142857,"two.sided","Geographic","Maximum Elevation"
"143","MPD","Spermatophyta","LGM",696,0.381991519973606,-0.242857142857143,"two.sided","Geographic","Maximum Elevation"
"144","MPD","Spermatophyta","All Summits",428,0.396553278906183,0.235714285714286,"two.sided","Geographic","Maximum Elevation"
"145","MNTD","Asterales","Regional",676,0.457772271288752,-0.207142857142857,"two.sided","Geographic","Heterogeneity Topography"
"146","MNTD","Asterales","LGM",688,0.411416373585749,-0.228571428571429,"two.sided","Geographic","Heterogeneity Topography"
"147","MNTD","Asterales","All Summits",640,0.611439506807749,-0.142857142857143,"two.sided","Geographic","Heterogeneity Topography"
"148","MNTD","Caryophyllales","Regional",656,0.115791427809696,-0.441758241758242,"two.sided","Geographic","Heterogeneity Topography"
"149","MNTD","Caryophyllales","LGM",668,0.0937957968109956,-0.468131868131868,"two.sided","Geographic","Heterogeneity Topography"
"150","MNTD","Caryophyllales","All Summits",612,0.227138790741402,-0.345054945054945,"two.sided","Geographic","Heterogeneity Topography"
"151","MNTD","Lamiales","Regional",650,0.128058002872678,-0.428571428571429,"two.sided","Geographic","Heterogeneity Topography"
"152","MNTD","Lamiales","LGM",394,0.792485539146814,-0.0824175824175824,"two.sided","Geographic","Heterogeneity Topography"
"153","MNTD","Lamiales","All Summits",592,0.295027250989738,-0.301098901098901,"two.sided","Geographic","Heterogeneity Topography"
"154","MNTD","Poales","Regional",354,0.444831815480673,0.221978021978022,"two.sided","Geographic","Heterogeneity Topography"
"155","MNTD","Poales","LGM",280,0.175452601385176,0.384615384615385,"two.sided","Geographic","Heterogeneity Topography"
"156","MNTD","Poales","All Summits",244,0.097233961205613,0.463736263736264,"two.sided","Geographic","Heterogeneity Topography"
"157","MNTD","Rosales","Regional",188,0.673423202665486,0.145454545454545,"two.sided","Geographic","Heterogeneity Topography"
"158","MNTD","Rosales","LGM",160,0.418166994020657,0.272727272727273,"two.sided","Geographic","Heterogeneity Topography"
"159","MNTD","Rosales","All Summits",228,0.924426257832482,-0.0363636363636364,"two.sided","Geographic","Heterogeneity Topography"
"160","MNTD","Spermatophyta","Regional",376,0.231628237981214,0.328571428571429,"two.sided","Geographic","Heterogeneity Topography"
"161","MNTD","Spermatophyta","LGM",206,0.0135118119874372,0.632142857142857,"two.sided","Geographic","Heterogeneity Topography"
"162","MNTD","Spermatophyta","All Summits",314,0.103199215938552,0.439285714285714,"two.sided","Geographic","Heterogeneity Topography"
"163","MPD","Asterales","Regional",630,0.657520919334464,-0.125,"two.sided","Geographic","Heterogeneity Topography"
"164","MPD","Asterales","LGM",532,0.862584774457331,0.05,"two.sided","Geographic","Heterogeneity Topography"
"165","MPD","Asterales","All Summits",588,0.862584774457332,-0.05,"two.sided","Geographic","Heterogeneity Topography"
"166","MPD","Caryophyllales","Regional",610,0.233428256854,-0.340659340659341,"two.sided","Geographic","Heterogeneity Topography"
"167","MPD","Caryophyllales","LGM",592,0.295027250989738,-0.301098901098901,"two.sided","Geographic","Heterogeneity Topography"
"168","MPD","Caryophyllales","All Summits",582,0.333132291388399,-0.279120879120879,"two.sided","Geographic","Heterogeneity Topography"
"169","MPD","Lamiales","Regional",660,0.108090693109141,-0.450549450549451,"two.sided","Geographic","Heterogeneity Topography"
"170","MPD","Lamiales","LGM",368,0.978311453941831,-0.010989010989011,"two.sided","Geographic","Heterogeneity Topography"
"171","MPD","Lamiales","All Summits",566,0.399764635817032,-0.243956043956044,"two.sided","Geographic","Heterogeneity Topography"
"172","MPD","Poales","Regional",396,0.659506350902761,0.12967032967033,"two.sided","Geographic","Heterogeneity Topography"
"173","MPD","Poales","LGM",466,0.939614979477402,-0.0241758241758242,"two.sided","Geographic","Heterogeneity Topography"
"174","MPD","Poales","All Summits",460,0.975828301047903,-0.010989010989011,"two.sided","Geographic","Heterogeneity Topography"
"175","MPD","Rosales","Regional",222,0.989189709913342,-0.00909090909090909,"two.sided","Geographic","Heterogeneity Topography"
"176","MPD","Rosales","LGM",172,0.520948935577084,0.218181818181818,"two.sided","Geographic","Heterogeneity Topography"
"177","MPD","Rosales","All Summits",178,0.576257826919622,0.190909090909091,"two.sided","Geographic","Heterogeneity Topography"
"178","MPD","Spermatophyta","Regional",560,1,0,"two.sided","Geographic","Heterogeneity Topography"
"179","MPD","Spermatophyta","LGM",548,0.943802108646298,0.0214285714285714,"two.sided","Geographic","Heterogeneity Topography"
"180","MPD","Spermatophyta","All Summits",564,0.984662516552938,-0.00714285714285714,"two.sided","Geographic","Heterogeneity Topography"
"181","MNTD","Asterales","Regional",294,0.0758700814278675,0.475,"two.sided","Geographic","Heterogeneity Lithology"
"182","MNTD","Asterales","LGM",372,0.221156810103058,0.335714285714286,"two.sided","Geographic","Heterogeneity Lithology"
"183","MNTD","Asterales","All Summits",330,0.129691512990006,0.410714285714286,"two.sided","Geographic","Heterogeneity Lithology"
"184","MNTD","Caryophyllales","Regional",482,0.843783845369856,-0.0593406593406593,"two.sided","Geographic","Heterogeneity Lithology"
"185","MNTD","Caryophyllales","LGM",542,0.512091764574596,-0.191208791208791,"two.sided","Geographic","Heterogeneity Lithology"
"186","MNTD","Caryophyllales","All Summits",478,0.867596308123435,-0.0505494505494506,"two.sided","Geographic","Heterogeneity Lithology"
"187","MNTD","Lamiales","Regional",412,0.750018295564461,0.0945054945054945,"two.sided","Geographic","Heterogeneity Lithology"
"188","MNTD","Lamiales","LGM",436,0.517155182307656,-0.197802197802198,"two.sided","Geographic","Heterogeneity Lithology"
"189","MNTD","Lamiales","All Summits",552,0.463565835143748,-0.213186813186813,"two.sided","Geographic","Heterogeneity Lithology"
"190","MNTD","Poales","Regional",338,0.373973221123601,0.257142857142857,"two.sided","Geographic","Heterogeneity Lithology"
"191","MNTD","Poales","LGM",442,0.927565750411485,0.0285714285714286,"two.sided","Geographic","Heterogeneity Lithology"
"192","MNTD","Poales","All Summits",490,0.796566427832341,-0.0769230769230769,"two.sided","Geographic","Heterogeneity Lithology"
"193","MNTD","Rosales","Regional",280,0.418166994020656,-0.272727272727273,"two.sided","Geographic","Heterogeneity Lithology"
"194","MNTD","Rosales","LGM",246,0.734251788754801,-0.118181818181818,"two.sided","Geographic","Heterogeneity Lithology"
"195","MNTD","Rosales","All Summits",240,0.796592401118967,-0.0909090909090909,"two.sided","Geographic","Heterogeneity Lithology"
"196","MNTD","Spermatophyta","Regional",492,0.666889120976749,0.121428571428571,"two.sided","Geographic","Heterogeneity Lithology"
"197","MNTD","Spermatophyta","LGM",668,0.490099813327133,-0.192857142857143,"two.sided","Geographic","Heterogeneity Lithology"
"198","MNTD","Spermatophyta","All Summits",700,0.367734618943773,-0.25,"two.sided","Geographic","Heterogeneity Lithology"
"199","MPD","Asterales","Regional",396,0.288740708216261,0.292857142857143,"two.sided","Geographic","Heterogeneity Lithology"
"200","MPD","Asterales","LGM",460,0.523513367920213,0.178571428571429,"two.sided","Geographic","Heterogeneity Lithology"
"201","MPD","Asterales","All Summits",506,0.733737529914827,0.0964285714285714,"two.sided","Geographic","Heterogeneity Lithology"
"202","MPD","Caryophyllales","Regional",550,0.473080171321481,-0.208791208791209,"two.sided","Geographic","Heterogeneity Lithology"
"203","MPD","Caryophyllales","LGM",464,0.951676825142244,-0.0197802197802198,"two.sided","Geographic","Heterogeneity Lithology"
"204","MPD","Caryophyllales","All Summits",540,0.522076764040787,-0.186813186813187,"two.sided","Geographic","Heterogeneity Lithology"
"205","MPD","Lamiales","Regional",436,0.891518798508242,0.0417582417582418,"two.sided","Geographic","Heterogeneity Lithology"
"206","MPD","Lamiales","LGM",534,0.110259718656138,-0.467032967032967,"two.sided","Geographic","Heterogeneity Lithology"
"207","MPD","Lamiales","All Summits",610,0.233428256854,-0.340659340659341,"two.sided","Geographic","Heterogeneity Lithology"
"208","MPD","Poales","Regional",312,0.273493639241883,0.314285714285714,"two.sided","Geographic","Heterogeneity Lithology"
"209","MPD","Poales","LGM",364,0.492397631724613,0.2,"two.sided","Geographic","Heterogeneity Lithology"
"210","MPD","Poales","All Summits",356,0.454149341656956,0.217582417582418,"two.sided","Geographic","Heterogeneity Lithology"
"211","MPD","Rosales","Regional",234,0.860103507719015,-0.0636363636363636,"two.sided","Geographic","Heterogeneity Lithology"
"212","MPD","Rosales","LGM",260,0.59521871798588,-0.181818181818182,"two.sided","Geographic","Heterogeneity Lithology"
"213","MPD","Rosales","All Summits",272,0.485475943733222,-0.236363636363636,"two.sided","Geographic","Heterogeneity Lithology"
"214","MPD","Spermatophyta","Regional",612,0.743453593091619,-0.0928571428571428,"two.sided","Geographic","Heterogeneity Lithology"
"215","MPD","Spermatophyta","LGM",564,0.984662516552938,-0.00714285714285714,"two.sided","Geographic","Heterogeneity Lithology"
"216","MPD","Spermatophyta","All Summits",652,0.557960500615536,-0.164285714285714,"two.sided","Geographic","Heterogeneity Lithology"
"217","MNTD","Asterales","Regional",688,0.411416373585749,-0.228571428571429,"two.sided","Environment","Available Energy"
"218","MNTD","Asterales","LGM",664,0.506673970534301,-0.185714285714286,"two.sided","Environment","Available Energy"
"219","MNTD","Asterales","All Summits",742,0.236982292510621,-0.325,"two.sided","Environment","Available Energy"
"220","MNTD","Caryophyllales","Regional",310,0.266538195204492,0.318681318681319,"two.sided","Environment","Available Energy"
"221","MNTD","Caryophyllales","LGM",252,0.111894050319888,0.446153846153846,"two.sided","Environment","Available Energy"
"222","MNTD","Caryophyllales","All Summits",350,0.426497919941949,0.230769230769231,"two.sided","Environment","Available Energy"
"223","MNTD","Lamiales","Regional",306,0.252961030208455,0.327472527472527,"two.sided","Environment","Available Energy"
"224","MNTD","Lamiales","LGM",358,0.963859580344439,0.0164835164835165,"two.sided","Environment","Available Energy"
"225","MNTD","Lamiales","All Summits",460,0.975828301047903,-0.010989010989011,"two.sided","Environment","Available Energy"
"226","MNTD","Poales","Regional",336,0.365588910224658,0.261538461538461,"two.sided","Environment","Available Energy"
"227","MNTD","Poales","LGM",374,0.54231558344302,0.178021978021978,"two.sided","Environment","Available Energy"
"228","MNTD","Poales","All Summits",460,0.975828301047903,-0.010989010989011,"two.sided","Environment","Available Energy"
"229","MNTD","Rosales","Regional",276,0.451196804369117,-0.254545454545455,"two.sided","Environment","Available Energy"
"230","MNTD","Rosales","LGM",266,0.539113807034715,-0.209090909090909,"two.sided","Environment","Available Energy"
"231","MNTD","Rosales","All Summits",266,0.539113807034715,-0.209090909090909,"two.sided","Environment","Available Energy"
"232","MNTD","Spermatophyta","Regional",428,0.396553278906183,0.235714285714286,"two.sided","Environment","Available Energy"
"233","MNTD","Spermatophyta","LGM",596,0.822421314284505,-0.0642857142857143,"two.sided","Environment","Available Energy"
"234","MNTD","Spermatophyta","All Summits",580,0.903077033938601,-0.0357142857142857,"two.sided","Environment","Available Energy"
"235","MPD","Asterales","Regional",748,0.221156810103058,-0.335714285714286,"two.sided","Environment","Available Energy"
"236","MPD","Asterales","LGM",892,0.0222740629474564,-0.592857142857143,"two.sided","Environment","Available Energy"
"237","MPD","Asterales","All Summits",848,0.0524250137509508,-0.514285714285714,"two.sided","Environment","Available Energy"
"238","MPD","Caryophyllales","Regional",394,0.64847616069147,0.134065934065934,"two.sided","Environment","Available Energy"
"239","MPD","Caryophyllales","LGM",386,0.60507220358306,0.151648351648352,"two.sided","Environment","Available Energy"
"240","MPD","Caryophyllales","All Summits",348,0.417483555488169,0.235164835164835,"two.sided","Environment","Available Energy"
