"","metric","clade","pool","z","pval","tau.est","alt","hyp","measure"
"229","mntd","Rosales","Ecrins NP",296,0.299387684486896,-0.345454545454545,"two.sided","Environment","Present Stability"
"230","mntd","Rosales","Persistent LGM",308,0.225014088667236,-0.4,"two.sided","Environment","Present Stability"
"231","mntd","Rosales","Summits",308,0.225014088667236,-0.4,"two.sided","Environment","Present Stability"
"232","mntd","Spermatophyta","Ecrins NP",780,0.148499766564763,-0.392857142857143,"two.sided","Environment","Present Stability"
"233","mntd","Spermatophyta","Persistent LGM",418,0.360721478070494,0.253571428571429,"two.sided","Environment","Present Stability"
"234","mntd","Spermatophyta","Summits",602,0.792571061577752,-0.075,"two.sided","Environment","Present Stability"
"235","mpd","Asterales","Ecrins NP",330,0.129691512990006,0.410714285714286,"two.sided","Environment","Present Stability"
"236","mpd","Asterales","Persistent LGM",254,0.0377005547982203,0.546428571428571,"two.sided","Environment","Present Stability"
"237","mpd","Asterales","Summits",272,0.0524250137509508,0.514285714285714,"two.sided","Environment","Present Stability"
"238","mpd","Caryophyllales","Ecrins NP",372,0.532151855360508,0.182417582417582,"two.sided","Environment","Present Stability"
"239","mpd","Caryophyllales","Persistent LGM",434,0.879545024083646,0.0461538461538462,"two.sided","Environment","Present Stability"
"240","mpd","Caryophyllales","Summits",430,0.855675102870577,0.0549450549450549,"two.sided","Environment","Present Stability"
"241","mpd","Lamiales","Ecrins NP",478,0.867596308123435,-0.0505494505494506,"two.sided","Environment","Present Stability"
"242","mpd","Lamiales","Persistent LGM",278,0.436693258252511,0.236263736263736,"two.sided","Environment","Present Stability"
"243","mpd","Lamiales","Summits",244,0.097233961205613,0.463736263736264,"two.sided","Environment","Present Stability"
