,PhyloSor,PhyloSor_turn,PhyloSor_PD,UniFrac,UniFrac_turn,UniFrac_PD,SES_PhyloSor,SES_PhyloSor_turn,SES_PhyloSor_PD,SES_UniFrac,SES_UniFrac_turn,SES_UniFrac_PD
La Meije-Lauvitel,0.346906771,0.066412982,0.280493789,0.515116233,0.124553964,0.39056227,-1.474842454,-1.739963646,0.373395108,-1.506055876,-1.838390402,1.038198
Sirac-Rouies,0.328881253,0.201425306,0.127455947,0.494974629,0.335310576,0.159664053,-1.175615508,-0.06981557,-1.085990353,-1.185234776,-0.035392769,-0.902806261
Sirac-Olan,0.247061804,0.19741723,0.049644574,0.396230248,0.329738416,0.066491832,-1.609436926,-1.424807437,0.146503513,-1.650982686,-1.462325688,0.294389163
Sirac-Pelvoux,0.54817738,0.387296524,0.160880857,0.708158364,0.558347141,0.149811223,0.069657143,4.945957537,-5.510835197,0.0924456,4.197843057,-4.791206109
Sirac-Occidentale Ailefroide,0.365876587,0.161801975,0.204074612,0.535738866,0.278536236,0.25720263,-2.081518898,-0.712185135,-1.059765017,-2.167214886,-0.706187629,-0.566130308
Sirac-Brevoort,0.54774832,0.125927105,0.421821215,0.707800245,0.223686071,0.484114174,-1.986431632,0.133180494,-1.537417984,-2.050121438,0.185741045,-0.931304352
Sirac-Burlan,0.325508827,0.156157024,0.169351803,0.491145469,0.270131169,0.2210143,-1.451188908,0.077783142,-1.430592079,-1.480605526,0.115459233,-1.176048176
Sirac-Rocher de la Selle,0.307982066,0.064899695,0.243082371,0.470927047,0.121888842,0.349038205,1.078558655,-0.995192872,1.98043668,1.076153243,-1.011326357,1.942285055
Sirac-Choisy,0.483517015,0.152377431,0.331139583,0.651852334,0.264457507,0.387394827,-1.854418186,-0.423410134,-0.993361279,-1.911515716,-0.395549346,-0.435984194
Sirac-Muraillette,0.304121567,0.271236538,0.032885029,0.46640064,0.426728669,0.039671971,-1.234884661,-0.648242733,-0.597637659,-1.243803742,-0.631364586,-0.533190262
Sirac-Rateau,0.303772273,0.205237761,0.098534513,0.465989774,0.340576386,0.125413387,0.906900569,-0.131361918,1.164722285,0.914079299,-0.103641571,1.047155716
Sirac-Lauvitel,0.237128677,0.172230893,0.064897784,0.383353294,0.293851483,0.089501811,-0.961033682,-0.97062034,0.238688366,-0.962990077,-0.974604252,0.348183749
Rouies-Olan,0.315046969,0.122647723,0.192399246,0.479141774,0.218497254,0.26064452,0.663716544,-1.202297429,2.121347825,0.679133364,-1.232153447,2.136461529
Rouies-Pelvoux,0.548202989,0.493798932,0.054404057,0.708179732,0.661131725,0.047048007,0.62826814,2.650904491,-3.468333413,0.644725008,2.393071923,-3.022845221
Rouies-Occidentale Ailefroide,0.245854865,0.17376182,0.072093044,0.394676574,0.296076797,0.098599776,-1.620565255,-1.090353137,-0.348828029,-1.671449762,-1.110129256,-0.150623397
Rouies-Brevoort,0.364132881,0.021829663,0.342303218,0.533867171,0.042726618,0.491140552,-2.076629133,-1.294768878,-0.749169107,-2.182665372,-1.368609111,0.137364882
Rouies-Burlan,0.280099216,0.24818744,0.031911776,0.437621103,0.397676553,0.03994455,-0.272229546,0.151802272,-0.587903137,-0.245884169,0.186312298,-0.587879243
Rouies-Rocher de la Selle,0.415671292,0.021481126,0.394190165,0.587242666,0.042058783,0.545183883,-0.492290688,-1.408048599,0.606091898,-0.475896992,-1.466992908,1.123856433
Rouies-Choisy,0.26925754,0.030292689,0.238964851,0.42427566,0.058804045,0.365471615,-1.738222134,-1.428355972,-0.375542412,-1.814091603,-1.508865288,0.253730271
Rouies-Muraillette,0.235254243,0.135577376,0.099676867,0.380900118,0.238781396,0.142118721,-2.843331581,-2.03058851,-0.350302915,-3.036979773,-2.150892301,0.118712193
Rouies-Rateau,0.302546392,0.033888647,0.268657745,0.464546052,0.0655557,0.398990353,-1.240607296,-1.488511543,0.131809064,-1.25395574,-1.556716909,0.690781634
