"","taxized"
"781","Hordelymus europaeus"
"782","Hordeum marinum"
"783","Humulus lupulus"
"784","Hylotelephium telephium"
"785","Hyoscyamus niger"
"786","Hypericum hirsutum"
"787","Hypericum maculatum"
"788","Hypericum montanum"
"789","Hypericum perforatum"
"790","Hypochaeris maculata"
"791","Hypochaeris radicata"
"792","Hyssopus officinalis"
"793","Iberis pinnata"
"794","Ilex aquifolium"
"795","Impatiens glandulifera"
"796","Inula conyza"
"797","Inula montana"
"798","Isatis tinctoria"
"799","Ixoca pusilla"
"800","Jacobaea incana"
"801","Jasione montana"
"802","Jonorchis abortiva"
"803","Juglans nigra"
"804","Juglans regia"
"805","Juncus alpinoarticulatus"
"806","Juncus arcticus"
"807","Juncus articulatus"
"808","Juncus bufonius"
"809","Juncus compressus"
"810","Juncus effusus"
"811","Juncus filiformis"
"812","Juncus inflexus"
"813","Juncus jacquini"
"814","Juniperus communis"
"815","Kernera saxatilis"
"816","Knautia arvensis"
"817","Knautia dipsacifolia"
"818","Koeleria cenisia"
"819","Koeleria pyramidata"
"820","Koeleria vallesiana"
"821","Laburnum alpinum"
"822","Laburnum anagyroides"
"823","Lactuca alpina"
"824","Lactuca muralis"
"825","Lactuca perennis"
"826","Lactuca serriola"
"827","Lamium amplexicaule"
"828","Lamium garganicum"
"829","Lamium maculatum"
"830","Lamium purpureum"
"831","Lappula squarrosa"
"832","Lapsana communis"
"833","Larix decidua"
"834","Laserpitium gallicum"
"835","Laserpitium halleri"
"836","Laserpitium latifolium"
"837","Laserpitium siler"
"838","Lathyrus latifolius"
"839","Lathyrus linifolius"
"840","Lathyrus ochraceus"
"841","Lathyrus pratensis"
"842","Lathyrus sphaericus"
"843","Lathyrus sylvestris"
"844","Lathyrus vernus"
"845","Lavandula angustifolia"
"846","Leontodon crispus"
"847","Leontodon hirtus"
"848","Leontodon hispidus"
"849","Lerouxia nemorum"
"850","Leucanthemum adustum"
"851","Leucanthemum atratum"
"852","Leucanthemum pallens"
"853","Leucanthemum vulgare"
"854","Ligustrum vulgare"
"855","Lilium bulbiferum"
"856","Lilium martagon"
"857","Limodorum rubrum"
"858","Linaria angustissima"
"859","Linaria repens"
"860","Linaria simplex"
"861","Linum alpinum"
"862","Linum catharticum"
"863","Linum suffruticosum"
"864","Linum tenuifolium"
"865","Listera nidus-avis"
"866","Listera ovata"
"867","Lithospermum officinale"
"868","Lolium perenne"
"869","Lomelosia graminifolia"
"870","Lonicera caerulea"
"871","Lonicera etrusca"
"872","Lonicera nigra"
"873","Lonicera webbiana"
"874","Lonicera xylosteum"
"875","Loroglossum anthropophorum"
"876","Lotus corniculatus"
"877","Lotus delortii"
"878","Lunaria annua"
"879","Lunaria rediviva"
"880","Luzula campestris"
"881","Luzula luzulina"
"882","Luzula multiflora"
"883","Luzula nivea"
"884","Luzula sudetica"
"885","Luzula sylvatica"
"886","Lycopus europaeus"
"887","Lysimachia arvensis"
"888","Lysimachia vulgaris"
"889","Lythrum salicaria"
"890","Macrosyringion glutinosum"
"891","Maianthemum bifolium"
"892","Malus sylvestris"
"893","Malva alcea"
"894","Malva moschata"
"895","Matricaria matricarioides"
"896","Medicago lupulina"
"897","Medicago minima"
"898","Medicago sativa"
"899","Melampyrum sylvaticum"
"900","Melica ciliata"
"901","Melica nutans"
"902","Melica uniflora"
"903","Melilotus albus"
"904","Melilotus officinalis"
"905","Melittis melissophyllum"
"906","Mentha aquatica"
"907","Mentha arvensis"
"908","Mentha longifolia"
"909","Merendera verna"
"910","Meum athamanticum"
"911","Microthlaspi perfoliatum"
"912","Milium effusum"
"913","Minuartia rostrata"
"914","Minuartia rupestris"
"915","Minuartia villarii"
"916","Moehringia muscosa"
"917","Moehringia trinervia"
"918","Molinia caerulea"
"919","Moneses uniflora"
"920","Monotropa hypopitys"
"921","Muscari comosum"
"922","Muscari neglectum"
"923","Mutellina adonidifolia"
"924","Myosotis arvensis"
"925","Myosotis corsicana"
"926","Myosotis ramosissima"
"927","Myosotis stricta"
"928","Myricaria germanica"
"929","Narcissus poeticus"
"930","Nasturtium officinale"
"931","Neotinea ustulata"
"932","Nepeta nuda"
"933","Noccaea caerulescens"
"934","Onobrychis saxatilis"
"935","Onobrychis viciifolia"
"936","Ononis arvensis"
"937","Ononis cristata"
"938","Ononis fruticosa"
"939","Ononis natrix"
"940","Ononis pusilla"
"941","Ononis rotundifolia"
"942","Ophioglossum vulgatum"
"943","Ophrys fuciflora"
"944","Ophrys insectifera"
"945","Ophrys sphegodes"
"946","Orchis mascula"
"947","Orchis militaris"
"948","Orchis purpurea"
"949","Orchites globosa"
"950","Oreoselinum nigrum"
"951","Origanum vulgare"
"952","Orlaya grandiflora"
"953","Ornithogalum umbellatum"
"954","Orobanche caryophyllacea"
"955","Orobanche laserpitii"
"956","Orobanche major"
"957","Orobanche purpurea"
"958","Orobanche teucrii"
"959","Orthantha lutea"
"960","Orthilia secunda"
"961","Oxalis acetosella"
"962","Oxalis fontana"
"963","Oxytropis fetida"
"964","Oxytropis jacquini"
"965","Oxytropis lapponica"
"966","Oxytropis pilosa"
"967","Padus avium"
"968","Paeonia officinalis"
"969","Papaver alpinum"
"970","Papaver dubium"
"971","Paris quadrifolia"
"972","Parnassia palustris"
"973","Paronychia kapela"
"974","Pastinaca sativa"
"975","Patzkea paniculata"
"976","Pedicularis comosa"
"977","Pedicularis foliosa"
"978","Pedicularis gyroflexa"
"979","Persicaria amphibia"
"980","Persicaria lapathifolia"
"981","Persicaria maculosa"
"982","Persicaria mitis"
"983","Petasites albus"
"984","Petasites hybridus"
"985","Petasites paradoxus"
"986","Petrorhagia prolifera"
"987","Petrorhagia saxifraga"
"988","Phaca hypoglottis"
"989","Phegopteris connectilis"
"990","Phleum phleoides"
"991","Phleum pratense"
"992","Phragmites australis"
"993","Phyteuma ovatum"
"994","Phyteuma scheuchzeri"
"995","Phyteuma scorzonerifolium"
"996","Phyteuma spicatum"
"997","Picea abies"
"998","Picris hieracioides"
"999","Pimpinella major"
"1000","Pimpinella saxifraga"
